Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
5, 1, Settle New City running, TARGET 65:32
5, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
10, 30, Naval Superiority, ,0, Not Ready, 
10, 30, Naval Superiority, No recruits to reach minimum, , , 
10, 30, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
10, 63, Barbarian Attack, Started
11, 1, Settle New City running, TARGET 64:36
11, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
11, 1, Naval Superiority running, TARGET 69:34
11, 1, Naval Superiority, ,0, Not Ready, 
11, 1, Barb Camp Tech Boost running, TARGET 66:26
11, Barb Camp Tech Boost, 1, , Battle line, 66:27, 0 endangered
11, 1, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_SLINGER; UNIT_WARRIOR; 
11, 1, Settle New City, No recruits to reach minimum, , , 
11, 1, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 1, Settle New City, No recruits to reach minimum, , , 
11, 1, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 1, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 1, Settle New City, Operation Move, UNIT_SETTLER, 64:35, 64:36, 64:36
11, 1, Settle New City, Operation Move, UNIT_WARRIOR, 64:36, 64:36, 64:36
11, 1, Settle New City, Operation complete
11, 1, Barb Camp Tech Boost, No recruits to reach minimum, , , 
11, 1, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 30 / 20.0, 
11, 1, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 1, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 67:29, 66:27, 67:28
11, 1, Barb Camp Tech Boost, Operation Move, UNIT_SLINGER, 68:30, 66:27, 67:29
11, 1, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 66:32, 66:27, 67:32
11, 1, Naval Superiority, No recruits to reach minimum, , , 
11, 1, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 2, Settle New City running, TARGET 64:24
11, Settle New City, 2, , Battle line, 64:24, 0 endangered
11, 2, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
11, 2, Naval Superiority running, TARGET 61:23
11, 2, Naval Superiority, ,0, Not Ready, 
11, 2, Barb Camp Tech Boost running, TARGET 66:26
11, Barb Camp Tech Boost, 2, , Battle line, 63:25, 0 endangered
11, 2, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_SLINGER; 
11, 2, Attack Walled City running, TARGET 57:26
11, 2, Attack Walled City, ,0, Not Ready, 
11, 2, Settle New City, No recruits to reach minimum, , , 
11, 2, Settle New City, No recruits to match strength, , Enemy Str: 23 / 20.0, 
11, 2, Settle New City, No recruits to reach minimum, , , 
11, 2, Settle New City, No recruits to match strength, , Enemy Str: 23 / 20.0, 
11, 2, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 2, Settle New City, Operation Move, UNIT_WARRIOR, 63:23, 63:23, 63:23
11, 2, Settle New City, Operation Move, UNIT_WARRIOR, 62:23, 63:24, 63:24
11, 2, Settle New City, Operation Move, UNIT_SETTLER, 62:22, 64:24, 62:23
11, 2, Settle New City, Operation Move, UNIT_WARRIOR, 62:23, 64:24, 62:23
11, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
11, 2, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 23 / 20.0, 
11, 2, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 2, Barb Camp Tech Boost, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 66:26
11, 2, Barb Camp Tech Boost, Operation Attack Units, UNIT_WARRIOR, At 64:25, Move 65:25, Attack -9999:-9999
11, 2, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_WARRIOR, At 61:28, Move -9999:-9999, Arrive 61:28
11, 2, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_SLINGER, At 61:22, Move -9999:-9999, Arrive 61:22
11, 2, Barb Camp Tech Boost, Attack Target Range Attack, UNIT_SLINGER, At 61:22
11, 2, Barb Camp Tech Boost, Attack Target Melee Attack, UNIT_WARRIOR, At 62:28
11, 2, Attack Walled City, No recruits to reach minimum, , , 
11, 2, Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 2, Naval Superiority, No recruits to reach minimum, , , 
11, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 3, Barb Camp Tech Boost, Started
11, 3, Settle New City running, TARGET 12:27
11, 3, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
11, 3, Naval Superiority running, TARGET 9:26
11, 3, Naval Superiority, ,0, Not Ready, 
11, 3, Barb Camp Tech Boost running, TARGET 5:24
11, 3, Barb Camp Tech Boost, ,0, Not Ready, 
11, 3, Settle New City, No recruits to reach minimum, , , 
11, 3, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 3, Settle New City, Operation Move, UNIT_SETTLER, 11:25, 12:26, 12:26
11, 3, Settle New City, Operation Move, UNIT_WARRIOR, 12:26, 12:26, 12:26
11, 3, Barb Camp Tech Boost, Recruiting minimums, , , UNIT_WARRIOR
11, 3, Barb Camp Tech Boost, Recruiting minimums, , , UNIT_WARRIOR
11, 3, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 10 / 0.0, UNIT_WARRIOR
11, 3, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 10 / 0.0, UNIT_WARRIOR
11, Barb Camp Tech Boost, 3, , Battle line, 7:25, 0 endangered
11, 3, Barb Camp Tech Boost, Operation Recruit, 1 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
11, Barb Camp Tech Boost, 3, , Battle line, 7:25, 0 endangered
11, 3, Barb Camp Tech Boost, No recruits to reach minimum, , , 
11, 3, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 10 / 20.0, UNIT_SLINGER
11, Barb Camp Tech Boost, 3, , Battle line, 7:25, 0 endangered
11, 3, Barb Camp Tech Boost, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
11, 3, Barb Camp Tech Boost, Operation Move, UNIT_SLINGER, 8:25, 6:24, 8:26
11, 3, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 9:25, 6:24, 8:25
11, 3, Naval Superiority, No recruits to reach minimum, , , 
11, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 4, Settle New City running, TARGET 63:10
11, 4, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
11, 4, Naval Superiority running, TARGET 65:9
11, 4, Naval Superiority, ,0, Not Ready, 
11, 4, Barb Camp Tech Boost running, TARGET 67:3
11, 4, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
11, 4, Settle New City, No recruits to reach minimum, , , 
11, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 4, Settle New City, No recruits to reach minimum, , , 
11, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 4, Settle New City, Operation Move, UNIT_SETTLER, 66:10, 63:10, 66:10
11, 4, Settle New City, Operation Move, UNIT_WARRIOR, 66:10, 63:10, 66:10
11, 4, Barb Camp Tech Boost, No recruits to reach minimum, , , 
11, 4, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 25 / 20.0, 
11, 4, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 4, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 66:9, 67:4, 66:8
11, 4, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 66:11, 67:4, 67:10
11, 4, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 66:13, 67:4, 66:11
11, 4, Naval Superiority, No recruits to reach minimum, , , 
11, 4, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 5, Settle New City running, TARGET 20:23
11, 5, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
11, 5, Settle New City, No recruits to reach minimum, , , 
11, 5, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 5, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 5, Settle New City, Operation Move, UNIT_SETTLER, 24:24, 20:23, 24:24
11, 5, Settle New City, Operation Move, UNIT_WARRIOR, 24:24, 20:23, 24:24
11, 6, Settle New City, Started
11, 6, Settle New City running, TARGET 13:43
11, 6, Settle New City, ,0, Not Ready, 
11, 7, Settle New City, Started
11, 7, Barb Camp Tech Boost, Started
11, 7, Settle New City running, TARGET 35:42
11, 7, Settle New City, ,0, Not Ready, 
11, 7, Barb Camp Tech Boost running, TARGET -9999:-9999
11, 7, Barb Camp Tech Boost, ,0, Not Ready, 
11, 7, Naval Superiority, Started
11, 7, Barb Camp Tech Boost, Operation Change Target INVALID, No backup
11, 7, Barb Camp Tech Boost, Operation complete
11, 7, Naval Superiority, No recruits to reach minimum, , , 
11, 7, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 8, Settle New City running, TARGET 39:12
11, 8, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
11, 8, Naval Superiority running, TARGET 33:17
11, 8, Naval Superiority, ,0, Not Ready, 
11, 8, Settle New City, No recruits to reach minimum, , , 
11, 8, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 8, Settle New City, No recruits to reach minimum, , , 
11, 8, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
11, 8, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 8, Settle New City, Operation Move, UNIT_SETTLER, 38:16, 39:12, 38:16
11, 8, Settle New City, Operation Move, UNIT_WARRIOR, 38:16, 39:12, 38:16
11, 8, Naval Superiority, No recruits to reach minimum, , , 
11, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 9, Settle New City running, TARGET 86:30
11, 9, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
11, 9, Naval Superiority running, TARGET 81:36
11, 9, Naval Superiority, ,0, Not Ready, 
11, 9, Settle New City, No recruits to reach minimum, , , 
11, 9, Settle New City, Recruiting strength, , Enemy Str: 0 / 30.0, UNIT_SUMERIAN_WAR_CART
11, 9, Settle New City, Operation Recruit, 3 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
11, 9, Settle New City, Operation Move, UNIT_WARRIOR, 84:33, 85:31, 85:32
11, 9, Settle New City, Operation Move, UNIT_SUMERIAN_WAR_CART, 84:34, 85:31, 84:32
11, 9, Settle New City, Operation Move, UNIT_SETTLER, 83:38, 86:30, 83:37
11, 9, Naval Superiority, No recruits to reach minimum, , , 
11, 9, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 10, Naval Superiority running, TARGET 14:50
11, 10, Naval Superiority, ,0, Not Ready, 
11, 10, Naval Superiority, No recruits to reach minimum, , , 
11, 10, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 11, Naval Superiority running, TARGET 83:17
11, 11, Naval Superiority, ,0, Not Ready, 
11, 11, Naval Superiority, No recruits to reach minimum, , , 
11, 11, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 13, Naval Superiority running, TARGET 29:45
11, 13, Naval Superiority, ,0, Not Ready, 
11, 13, Naval Superiority, No recruits to reach minimum, , , 
11, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 14, Naval Superiority running, TARGET 79:26
11, 14, Naval Superiority, ,0, Not Ready, 
11, 14, Naval Superiority, No recruits to reach minimum, , , 
11, 14, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 15, Naval Superiority running, TARGET 66:18
11, 15, Naval Superiority, ,0, Not Ready, 
11, 15, Naval Superiority, No recruits to reach minimum, , , 
11, 15, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 16, City Defense running, TARGET 29:12
11, City Defense, 16, , Battle line, 27:12, 0 endangered
11, 16, City Defense, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; 
11, 16, City Defense, No recruits to reach minimum, , , 
11, 16, City Defense, No recruits to match strength, , Enemy Str: 5 / 25.0, 
11, 16, City Defense, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 16, City Defense, Op Attack Units Targets, Target 0, Owner 63, UNIT_SCOUT, 28:12
11, 16, City Defense, Operation Attack Units, UNIT_WARRIOR, At 27:14, Move 27:13, Attack -9999:-9999
11, 17, Naval Superiority running, TARGET 95:22
11, 17, Naval Superiority, ,0, Not Ready, 
11, 17, Naval Superiority, No recruits to reach minimum, , , 
11, 17, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 18, Naval Superiority running, TARGET 28:18
11, 18, Naval Superiority, ,0, Not Ready, 
11, 18, Naval Superiority, No recruits to reach minimum, , , 
11, 18, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 19, Naval Superiority running, TARGET 18:23
11, 19, Naval Superiority, ,0, Not Ready, 
11, 19, Naval Superiority, No recruits to reach minimum, , , 
11, 19, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 20, Naval Superiority running, TARGET 51:30
11, 20, Naval Superiority, ,0, Not Ready, 
11, 20, Naval Superiority, No recruits to reach minimum, , , 
11, 20, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 21, Naval Superiority running, TARGET 94:41
11, 21, Naval Superiority, ,0, Not Ready, 
11, 21, Attack Barb Camp running, TARGET 91:34
11, Attack Barb Camp, 21, , Battle line, 91:35, 0 endangered
11, 21, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
11, 21, Attack Barb Camp, No recruits to reach minimum, , , 
11, 21, Attack Barb Camp, No recruits to match strength, , Enemy Str: 27 / 12.5, 
11, 21, Attack Barb Camp, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 21, Attack Barb Camp, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 91:34
11, 21, Attack Barb Camp, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 91:34
11, 21, Attack Barb Camp, Attack Target Move Direct, UNIT_WARRIOR, At 94:39, Move -9999:-9999, Arrive 94:39
11, 21, Attack Barb Camp, Attack Target Move Direct, UNIT_WARRIOR, At 93:38, Move -9999:-9999, Arrive 93:38
11, 21, Attack Barb Camp, Attack Target Move, UNIT_WARRIOR, At 92:36, Move 91:33, Arrive 92:36
11, 21, Attack Barb Camp, Attack Target Move Melee, UNIT_WARRIOR, At 92:36, Move 92:34, Arrive 92:36
11, 21, Attack Barb Camp, Attack Target Melee Attack, UNIT_WARRIOR, At 94:39
11, 21, Attack Barb Camp, Attack Target Melee Attack, UNIT_WARRIOR, At 93:38
11, 21, Attack Barb Camp, Attack Target Melee Attack, UNIT_WARRIOR, At 92:36
11, 21, Naval Superiority, No recruits to reach minimum, , , 
11, 21, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 22, Naval Superiority running, TARGET 41:35
11, 22, Naval Superiority, ,0, Not Ready, 
11, 22, Naval Superiority, No recruits to reach minimum, , , 
11, 22, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 23, Naval Superiority running, TARGET 78:43
11, 23, Naval Superiority, ,0, Not Ready, 
11, 23, Naval Superiority, No recruits to reach minimum, , , 
11, 23, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 24, Attack Barb Camp running, TARGET 42:10
11, Attack Barb Camp, 24, , Battle line, 42:11, 0 endangered
11, 24, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; 
11, 24, Attack Barb Camp, No recruits to reach minimum, , , 
11, 24, Attack Barb Camp, No recruits to match strength, , Enemy Str: 20 / 12.5, 
11, 24, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 24, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
11, 24, Attack Barb Camp, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 42:10
11, 24, Attack Barb Camp, Operation Attack Units, UNIT_WARRIOR, At 42:11, Move 42:11, Attack 42:10
11, 25, Naval Superiority running, TARGET 37:7
11, 25, Naval Superiority, ,0, Not Ready, 
11, 25, Naval Superiority, No recruits to reach minimum, , , 
11, 25, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 26, Naval Superiority running, TARGET 76:40
11, 26, Naval Superiority, ,0, Not Ready, 
11, 26, Naval Superiority, No recruits to reach minimum, , , 
11, 26, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 27, Naval Superiority running, TARGET 14:32
11, 27, Naval Superiority, ,0, Not Ready, 
11, 27, Naval Superiority, No recruits to reach minimum, , , 
11, 27, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 28, Naval Superiority running, TARGET 47:42
11, 28, Naval Superiority, ,0, Not Ready, 
11, 28, Naval Superiority, No recruits to reach minimum, , , 
11, 28, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 29, Naval Superiority running, TARGET 87:27
11, 29, Naval Superiority, ,0, Not Ready, 
11, 29, Naval Superiority, No recruits to reach minimum, , , 
11, 29, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 30, Naval Superiority running, TARGET 77:34
11, 30, Naval Superiority, ,0, Not Ready, 
11, 30, Naval Superiority, No recruits to reach minimum, , , 
11, 30, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
11, 63, Barbarian Attack running, TARGET 16:41
11, 63, Barbarian Attack, ,0, Not Ready, 
12, 1, Settle New City, Started
12, 1, Settle New City running, TARGET 67:29
12, 1, Settle New City, ,0, Not Ready, 
12, 1, Naval Superiority running, TARGET 69:34
12, 1, Naval Superiority, ,0, Not Ready, 
12, 1, Barb Camp Tech Boost running, TARGET 66:26
12, Barb Camp Tech Boost, 1, , Battle line, 66:27, 0 endangered
12, 1, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_SLINGER; UNIT_WARRIOR; 
12, 1, Barb Camp Tech Boost, No recruits to reach minimum, , , 
12, 1, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 30 / 20.0, 
12, 1, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, Barb Camp Tech Boost, 1, , Battle line, 66:27, 0 endangered
12, 1, Barb Camp Tech Boost, No recruits to reach minimum, , , 
12, 1, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 30 / 20.0, 
12, Barb Camp Tech Boost, 1, , Battle line, 66:27, 0 endangered
12, 1, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 1, Barb Camp Tech Boost, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 66:26
12, 1, Barb Camp Tech Boost, Operation Attack Units, UNIT_WARRIOR, At 67:28, Move 66:27, Attack -9999:-9999
12, 1, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_WARRIOR, At 67:32, Move -9999:-9999, Arrive 67:32
12, 1, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_SLINGER, At 67:29, Move -9999:-9999, Arrive 67:29
12, 1, Barb Camp Tech Boost, Attack Target Move Melee, UNIT_SLINGER, At 67:29, Move 66:27, Arrive 67:29
12, 1, Barb Camp Tech Boost, Attack Target Range Attack, UNIT_SLINGER, At 67:29
12, 1, Barb Camp Tech Boost, Attack Target Melee Attack, UNIT_WARRIOR, At 66:32
12, 1, Naval Superiority, No recruits to reach minimum, , , 
12, 1, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 2, Settle New City running, TARGET 64:24
12, Settle New City, 2, , Battle line, 64:24, 0 endangered
12, 2, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
12, 2, Naval Superiority running, TARGET 61:23
12, 2, Naval Superiority, ,0, Not Ready, 
12, 2, Barb Camp Tech Boost running, TARGET 66:26
12, Barb Camp Tech Boost, 2, , Battle line, 63:25, 0 endangered
12, 2, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_SLINGER; 
12, 2, Attack Walled City running, TARGET 57:26
12, 2, Attack Walled City, ,0, Not Ready, 
12, 2, Settle New City, No recruits to reach minimum, , , 
12, 2, Settle New City, No recruits to match strength, , Enemy Str: 23 / 20.0, 
12, 2, Settle New City, No recruits to reach minimum, , , 
12, 2, Settle New City, No recruits to match strength, , Enemy Str: 23 / 20.0, 
12, 2, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 2, Settle New City, Operation Move, UNIT_WARRIOR, 63:24, 63:24, 63:24
12, 2, Settle New City, Operation Move, UNIT_WARRIOR, 63:23, 63:23, 63:23
12, 2, Settle New City, Operation Move, UNIT_SETTLER, 62:23, 64:24, 62:23
12, 2, Settle New City, Operation Move, UNIT_WARRIOR, 62:23, 64:24, 62:23
12, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
12, 2, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 23 / 20.0, 
12, 2, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 2, Barb Camp Tech Boost, Op Attack Units Targets, Target 0, Owner 63, UNIT_SPEARMAN, 66:26
12, 2, Barb Camp Tech Boost, Operation Attack Units, UNIT_WARRIOR, At 65:25, Move 65:25, Attack 66:26
12, 2, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_WARRIOR, At 62:28, Move -9999:-9999, Arrive 62:28
12, 2, Barb Camp Tech Boost, Attack Target Move Direct, UNIT_SLINGER, At 61:22, Move -9999:-9999, Arrive 61:22
12, 2, Barb Camp Tech Boost, Attack Target Range Attack, UNIT_SLINGER, At 61:22
12, 2, Barb Camp Tech Boost, Attack Target Melee Attack, UNIT_WARRIOR, At 63:30
12, 2, Attack Walled City, No recruits to reach minimum, , , 
12, 2, Attack Walled City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 2, Naval Superiority, No recruits to reach minimum, , , 
12, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 3, Settle New City running, TARGET 12:27
12, 3, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
12, 3, Naval Superiority running, TARGET 9:26
12, 3, Naval Superiority, ,0, Not Ready, 
12, 3, Barb Camp Tech Boost running, TARGET 5:24
12, Barb Camp Tech Boost, 3, , Battle line, 1073741830:25, 0 endangered
12, 3, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_SLINGER; 
12, 3, Settle New City, No recruits to reach minimum, , , 
12, 3, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
12, 3, Settle New City, No recruits to reach minimum, , , 
12, 3, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
12, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 3, Settle New City, Operation Move, UNIT_SETTLER, 12:26, 12:27, 12:27
12, 3, Settle New City, Operation Move, UNIT_WARRIOR, 12:27, 12:27, 12:27
12, Barb Camp Tech Boost, 3, , Battle line, 1073741830:25, 0 endangered
12, 3, Barb Camp Tech Boost, No recruits to reach minimum, , , 
12, 3, Barb Camp Tech Boost, Recruiting strength, , Enemy Str: 35 / 20.0, UNIT_WARRIOR
12, Barb Camp Tech Boost, 3, , Battle line, 1073741830:24, 0 endangered
12, 3, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
12, 3, Barb Camp Tech Boost, Op Attack Units Targets, Target 0, Owner 63, UNIT_SCOUT, 6:27
12, 3, Barb Camp Tech Boost, Operation Attack Units, UNIT_WARRIOR, At 7:25, Move 7:26, Attack -9999:-9999
12, 3, Barb Camp Tech Boost, Operation Move, UNIT_SLINGER, 8:25, 5:25, 7:25
12, 3, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 9:24, 6:24, 8:25
12, 3, Naval Superiority, No recruits to reach minimum, , , 
12, 3, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 4, Settle New City running, TARGET 63:10
12, 4, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
12, 4, Naval Superiority running, TARGET 65:9
12, 4, Naval Superiority, ,0, Not Ready, 
12, 4, Barb Camp Tech Boost running, TARGET 67:3
12, 4, Barb Camp Tech Boost, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
12, 4, Settle New City, No recruits to reach minimum, , , 
12, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
12, 4, Settle New City, No recruits to reach minimum, , , 
12, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
12, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 4, Settle New City, Operation Move, UNIT_SETTLER, 66:10, 63:10, 66:10
12, 4, Settle New City, Operation Move, UNIT_WARRIOR, 66:10, 63:10, 66:10
12, 4, Barb Camp Tech Boost, No recruits to reach minimum, , , 
12, 4, Barb Camp Tech Boost, No recruits to match strength, , Enemy Str: 25 / 20.0, 
12, 4, Barb Camp Tech Boost, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
12, 4, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 66:8, 67:4, 66:7
12, 4, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 67:10, 67:4, 66:9
12, 4, Barb Camp Tech Boost, Operation Move, UNIT_WARRIOR, 66:11, 67:4, 67:10
