,UNIT_SETTLER,UNIT_BUILDER,UNIT_TRADER,UNIT_MISSIONARY,UNIT_APOSTLE,UNIT_INQUISITOR,UNIT_GURU,UNIT_WARRIOR_MONK,UNIT_ARCHAEOLOGIST,UNIT_GREAT_GENERAL,UNIT_GREAT_ADMIRAL,UNIT_GREAT_ENGINEER,UNIT_GREAT_MERCHANT,UNIT_GREAT_PROPHET,UNIT_GREAT_SCIENTIST,UNIT_GREAT_WRITER,UNIT_GREAT_ARTIST,UNIT_GREAT_MUSICIAN,UNIT_SPY,UNIT_NATURALIST,UNIT_SCOUT,UNIT_WARRIOR,UNIT_SLINGER,UNIT_BARBARIAN_HORSEMAN,UNIT_BARBARIAN_HORSE_ARCHER,UNIT_SUMERIAN_WAR_CART,UNIT_BARBARIAN_RAIDER,UNIT_GALLEY,UNIT_NORWEGIAN_LONGSHIP,UNIT_ARCHER,UNIT_SPEARMAN,UNIT_HEAVY_CHARIOT,UNIT_BATTERING_RAM,UNIT_GREEK_HOPLITE,UNIT_SWORDSMAN,UNIT_HORSEMAN,UNIT_SCYTHIAN_HORSE_ARCHER,UNIT_ROMAN_LEGION,UNIT_KONGO_SHIELD_BEARER,UNIT_CATAPULT,UNIT_SIEGE_TOWER,UNIT_QUADRIREME,UNIT_EGYPTIAN_CHARIOT_ARCHER,UNIT_JAPANESE_SAMURAI,UNIT_NORWEGIAN_BERSERKER,UNIT_KNIGHT,UNIT_INDIAN_VARU,UNIT_ARABIAN_MAMLUK,UNIT_CROSSBOWMAN,UNIT_CHINESE_CROUCHING_TIGER,UNIT_MILITARY_ENGINEER,UNIT_PIKEMAN,UNIT_MUSKETMAN,UNIT_SPANISH_CONQUISTADOR,UNIT_CARAVEL,UNIT_BOMBARD,UNIT_FRIGATE,UNIT_PRIVATEER,UNIT_ENGLISH_SEADOG,UNIT_FIELD_CANNON,UNIT_CAVALRY,UNIT_RUSSIAN_COSSACK,UNIT_ENGLISH_REDCOAT,UNIT_FRENCH_GARDE_IMPERIALE,UNIT_MEDIC,UNIT_IRONCLAD,UNIT_AMERICAN_ROUGH_RIDER,UNIT_RANGER,UNIT_OBSERVATION_BALLOON,UNIT_BIPLANE,UNIT_INFANTRY,UNIT_ARTILLERY,UNIT_BATTLESHIP,UNIT_BRAZILIAN_MINAS_GERAES,UNIT_SUBMARINE,UNIT_GERMAN_UBOAT,UNIT_AT_CREW,UNIT_TANK,UNIT_FIGHTER,UNIT_AMERICAN_P51,UNIT_BOMBER,UNIT_ANTIAIR_GUN,UNIT_MACHINE_GUN,UNIT_AIRCRAFT_CARRIER,UNIT_DESTROYER,UNIT_HELICOPTER,UNIT_NUCLEAR_SUBMARINE,UNIT_MECHANIZED_INFANTRY,UNIT_ROCKET_ARTILLERY,UNIT_MOBILE_SAM,UNIT_JET_FIGHTER,UNIT_JET_BOMBER,UNIT_MISSILE_CRUISER,UNIT_MODERN_AT,UNIT_MODERN_ARMOR,UNIT_AZTEC_EAGLE_WARRIOR,UNIT_INDONESIAN_JONG,UNIT_KHMER_DOMREY,UNIT_POLISH_HUSSAR,UNIT_NUBIAN_PITATI,UNIT_MACEDONIAN_HYPASPIST,UNIT_MACEDONIAN_HETAIROI,UNIT_PERSIAN_IMMORTAL,UNIT_DIGGER,UNIT_ZULU_IMPI,UNIT_KOREAN_HWACHA,UNIT_SCOTTISH_HIGHLANDER,UNIT_DE_ZEVEN_PROVINCIEN,UNIT_MONGOLIAN_KESHIG,UNIT_GEORGIAN_KHEVSURETI,UNIT_MAPUCHE_MALON_RAIDER,UNIT_CREE_OKIHTCITAW,UNIT_CANADA_MOUNTIE,UNIT_HUNGARY_BLACK_ARMY,UNIT_HUNGARY_HUSZAR,UNIT_INCA_WARAKAQ,UNIT_MALI_MANDEKALU_CAVALRY,UNIT_MAORI_TOA,UNIT_OTTOMAN_BARBARY_CORSAIR,UNIT_PHOENICIA_BIREME,UNIT_SULEIMAN_JANISSARY,UNIT_SWEDEN_CAROLEAN,UNIT_SPEC_OPS,UNIT_DRONE,UNIT_PIKE_AND_SHOT,UNIT_SUPPLY_CONVOY,UNIT_SKIRMISHER,UNIT_COURSER,UNIT_CUIRASSIER,UNIT_GIANT_DEATH_ROBOT,UNIT_ROCK_BAND
UNIT_GALLEY, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.45, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.18, 1.44, 2.75, 1.44, 2.00, 0.69, 1.00, 1.00, 0.69, 1.26, 1.00, 0.79, 100.00, 1.00, 0.43, 0.43, 1.26, 0.31, 0.43, 0.44, 100.00, 0.65, 0.57, 0.16, 0.31, 0.16, 0.31, 0.16, 0.39, 0.32, 100.00, 0.29, 0.09, 0.09, 0.14, 0.09, 0.09, 0.13, 0.13, 0.08, 0.07, 0.06, 0.07, 0.06, 100.00, 0.08, 0.06, 0.11, 100.00, 0.01, 0.05, 0.04, 0.04, 0.02, 0.03, 0.03, 0.05, 0.03, 0.01, 0.01, 0.01, 100.00, 0.03, 0.06, 0.03, 0.03, 0.02, 0.03, 0.02, 100.00, 0.00, 0.01, 0.02, 0.03, 0.02, 0.79, 0.09, 0.21, 0.09, 1.00, 0.43, 0.43, 0.69, 0.05, 0.29, 0.11, 0.07, 0.06, 0.39, 0.21, 0.09, 1.44, 0.08, 0.18, 0.06, 0.68, 0.16, 0.43, 0.13, 0.69, 0.08, 0.07, 0.05, 100.00, 0.09, 100.00, 0.82, 0.22, 0.07, 0.01, 100.00
UNIT_NORWEGIAN_LONGSHIP, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.69, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.71, 2.20, 4.00, 2.20, 2.87, 1.00, 1.44, 1.44, 1.00, 1.80, 1.44, 1.14, 100.00, 1.44, 0.63, 0.63, 1.80, 0.45, 0.63, 0.66, 100.00, 0.98, 0.82, 0.25, 0.46, 0.25, 0.45, 0.25, 0.57, 0.47, 100.00, 0.43, 0.14, 0.14, 0.21, 0.14, 0.13, 0.18, 0.18, 0.12, 0.09, 0.07, 0.09, 0.08, 100.00, 0.09, 0.07, 0.16, 100.00, 0.02, 0.06, 0.05, 0.04, 0.03, 0.04, 0.04, 0.06, 0.04, 0.01, 0.01, 0.01, 100.00, 0.04, 0.08, 0.04, 0.04, 0.02, 0.03, 0.03, 100.00, 0.00, 0.01, 0.03, 0.04, 0.03, 1.14, 0.13, 0.31, 0.14, 1.52, 0.63, 0.63, 1.00, 0.06, 0.43, 0.16, 0.11, 0.09, 0.57, 0.31, 0.14, 2.20, 0.09, 0.26, 0.08, 1.02, 0.22, 0.63, 0.18, 1.00, 0.09, 0.08, 0.06, 100.00, 0.14, 100.00, 1.26, 0.33, 0.08, 0.01, 100.00
UNIT_ARCHER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.52, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.60, 2.30, 2.86, 1.69, 1.80, 0.78, 0.80, 0.80, 0.56, 1.00, 1.64, 1.35, 100.00, 1.64, 0.82, 0.49, 1.00, 0.63, 0.82, 0.71, 100.00, 0.43, 0.35, 0.40, 0.66, 0.20, 0.63, 0.20, 0.25, 0.50, 100.00, 0.60, 0.30, 0.30, 0.14, 0.18, 0.07, 0.08, 0.08, 0.10, 0.12, 0.10, 0.24, 0.20, 100.00, 0.09, 0.10, 0.14, 100.00, 0.03, 0.16, 0.07, 0.04, 0.03, 0.03, 0.03, 0.16, 0.05, 0.02, 0.02, 0.03, 100.00, 0.06, 0.07, 0.04, 0.05, 0.02, 0.05, 0.05, 100.00, 0.01, 0.02, 0.03, 0.05, 0.04, 1.35, 0.07, 0.36, 0.15, 0.54, 0.82, 0.49, 0.55, 0.18, 0.60, 0.12, 0.11, 0.06, 0.25, 0.47, 0.15, 1.69, 0.13, 0.22, 0.10, 0.45, 0.20, 0.82, 0.08, 0.56, 0.26, 0.11, 0.07, 100.00, 0.30, 100.00, 0.67, 0.26, 0.11, 0.02, 100.00
UNIT_SPEARMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.45, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.18, 1.00, 1.94, 2.14, 2.58, 0.69, 1.00, 1.00, 0.69, 0.61, 1.00, 1.16, 100.00, 1.00, 0.29, 0.64, 1.50, 0.21, 0.29, 0.48, 100.00, 0.65, 0.31, 0.11, 0.24, 0.24, 0.47, 0.24, 0.22, 0.22, 100.00, 0.29, 0.08, 0.08, 0.14, 0.12, 0.08, 0.11, 0.11, 0.06, 0.09, 0.08, 0.06, 0.05, 100.00, 0.08, 0.08, 0.08, 100.00, 0.01, 0.04, 0.04, 0.04, 0.02, 0.03, 0.03, 0.05, 0.04, 0.01, 0.01, 0.01, 100.00, 0.03, 0.06, 0.03, 0.04, 0.01, 0.03, 0.02, 100.00, 0.00, 0.01, 0.02, 0.03, 0.03, 0.54, 0.08, 0.24, 0.14, 0.50, 0.29, 0.64, 0.33, 0.05, 0.29, 0.07, 0.06, 0.06, 0.34, 0.14, 0.14, 1.44, 0.11, 0.27, 0.08, 0.46, 0.22, 0.29, 0.11, 0.69, 0.07, 0.07, 0.04, 100.00, 0.09, 100.00, 0.59, 0.33, 0.09, 0.01, 100.00
UNIT_HEAVY_CHARIOT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.59, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.07, 1.86, 2.47, 1.86, 1.85, 0.88, 1.26, 1.26, 0.88, 0.74, 0.86, 1.00, 100.00, 0.86, 0.54, 0.54, 1.11, 0.40, 0.54, 0.59, 100.00, 0.84, 0.38, 0.21, 0.40, 0.21, 0.40, 0.21, 0.27, 0.27, 100.00, 0.24, 0.12, 0.12, 0.18, 0.15, 0.09, 0.13, 0.13, 0.07, 0.08, 0.07, 0.08, 0.07, 100.00, 0.09, 0.07, 0.09, 100.00, 0.02, 0.06, 0.04, 0.04, 0.03, 0.03, 0.03, 0.05, 0.04, 0.01, 0.01, 0.01, 100.00, 0.03, 0.07, 0.04, 0.04, 0.02, 0.03, 0.03, 100.00, 0.00, 0.01, 0.03, 0.04, 0.03, 1.00, 0.09, 0.30, 0.12, 0.61, 0.54, 0.54, 0.56, 0.05, 0.24, 0.08, 0.08, 0.07, 0.27, 0.26, 0.12, 1.86, 0.09, 0.22, 0.07, 0.59, 0.19, 0.54, 0.13, 0.88, 0.09, 0.06, 0.04, 100.00, 0.09, 100.00, 0.76, 0.29, 0.07, 0.01, 100.00
UNIT_BATTERING_RAM, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_GREEK_HOPLITE, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.45, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.18, 1.00, 1.94, 2.14, 2.58, 0.69, 1.00, 1.00, 0.69, 0.61, 1.00, 1.16, 100.00, 1.00, 0.29, 0.64, 1.50, 0.21, 0.29, 0.48, 100.00, 0.65, 0.31, 0.11, 0.24, 0.24, 0.47, 0.24, 0.22, 0.22, 100.00, 0.29, 0.08, 0.08, 0.14, 0.12, 0.08, 0.11, 0.11, 0.06, 0.09, 0.08, 0.06, 0.05, 100.00, 0.08, 0.08, 0.08, 100.00, 0.01, 0.04, 0.04, 0.04, 0.02, 0.03, 0.03, 0.05, 0.04, 0.01, 0.01, 0.01, 100.00, 0.03, 0.06, 0.03, 0.04, 0.01, 0.03, 0.02, 100.00, 0.00, 0.01, 0.02, 0.03, 0.03, 0.54, 0.08, 0.24, 0.14, 0.50, 0.29, 0.64, 0.33, 0.05, 0.29, 0.07, 0.06, 0.06, 0.34, 0.14, 0.14, 1.44, 0.11, 0.27, 0.08, 0.46, 0.22, 0.29, 0.11, 0.69, 0.07, 0.07, 0.04, 100.00, 0.09, 100.00, 0.59, 0.33, 0.09, 0.01, 100.00
UNIT_SWORDSMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.07, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.55, 3.50, 4.55, 3.50, 3.46, 1.58, 2.30, 2.30, 1.58, 1.23, 3.45, 1.86, 100.00, 3.45, 1.00, 1.00, 2.06, 0.74, 1.00, 1.01, 100.00, 1.56, 0.64, 0.40, 0.72, 0.40, 0.74, 0.40, 0.47, 0.50, 100.00, 1.00, 0.22, 0.22, 0.33, 0.26, 0.16, 0.24, 0.24, 0.11, 0.13, 0.09, 0.13, 0.11, 100.00, 0.16, 0.09, 0.17, 100.00, 0.02, 0.08, 0.07, 0.06, 0.04, 0.05, 0.05, 0.11, 0.05, 0.01, 0.01, 0.02, 100.00, 0.05, 0.11, 0.05, 0.05, 0.02, 0.04, 0.04, 100.00, 0.01, 0.02, 0.04, 0.07, 0.04, 1.86, 0.16, 0.52, 0.22, 1.02, 1.00, 1.00, 0.90, 0.08, 1.00, 0.14, 0.12, 0.11, 0.47, 0.49, 0.22, 3.50, 0.16, 0.43, 0.11, 1.10, 0.36, 1.00, 0.24, 1.58, 0.16, 0.17, 0.06, 100.00, 0.33, 100.00, 1.40, 0.54, 0.11, 0.01, 100.00
UNIT_HORSEMAN, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.07, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.55, 3.50, 4.55, 3.50, 3.46, 1.58, 2.30, 2.30, 1.58, 2.06, 1.57, 1.86, 100.00, 1.57, 1.00, 1.00, 2.06, 0.74, 1.00, 1.52, 100.00, 1.56, 0.94, 0.40, 0.72, 0.40, 0.74, 0.40, 0.64, 0.50, 100.00, 0.47, 0.22, 0.22, 0.33, 0.32, 0.20, 0.30, 0.30, 0.13, 0.13, 0.09, 0.13, 0.11, 100.00, 0.16, 0.09, 0.17, 100.00, 0.02, 0.08, 0.07, 0.07, 0.04, 0.05, 0.05, 0.07, 0.05, 0.01, 0.01, 0.02, 100.00, 0.05, 0.11, 0.05, 0.05, 0.03, 0.04, 0.04, 100.00, 0.01, 0.02, 0.04, 0.05, 0.04, 1.86, 0.20, 0.69, 0.22, 1.66, 1.00, 1.00, 1.58, 0.08, 0.47, 0.17, 0.12, 0.13, 0.64, 0.49, 0.22, 3.50, 0.16, 0.43, 0.11, 1.10, 0.36, 1.00, 0.30, 1.58, 0.16, 0.09, 0.07, 100.00, 0.15, 100.00, 1.40, 0.54, 0.11, 0.01, 100.00
UNIT_SCYTHIAN_HORSE_ARCHER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.52, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 3.60, 1.69, 2.20, 1.69, 1.80, 0.78, 0.80, 0.80, 0.56, 1.00, 0.67, 0.90, 100.00, 0.67, 0.49, 0.49, 1.00, 0.35, 0.49, 0.94, 100.00, 0.43, 0.45, 0.20, 0.33, 0.20, 0.35, 0.20, 0.31, 0.25, 100.00, 0.23, 0.15, 0.15, 0.14, 0.20, 0.07, 0.09, 0.09, 0.11, 0.12, 0.10, 0.12, 0.10, 100.00, 0.09, 0.10, 0.14, 100.00, 0.03, 0.08, 0.08, 0.04, 0.03, 0.03, 0.03, 0.07, 0.05, 0.02, 0.02, 0.03, 100.00, 0.06, 0.07, 0.04, 0.05, 0.02, 0.05, 0.05, 100.00, 0.01, 0.02, 0.03, 0.05, 0.04, 0.90, 0.07, 0.44, 0.15, 0.76, 0.49, 0.49, 0.78, 0.09, 0.23, 0.14, 0.11, 0.06, 0.31, 0.24, 0.15, 1.69, 0.13, 0.22, 0.10, 0.45, 0.20, 0.49, 0.09, 0.56, 0.13, 0.10, 0.08, 100.00, 0.13, 100.00, 0.67, 0.26, 0.11, 0.02, 100.00
UNIT_ROMAN_LEGION, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.44, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 10.78, 4.71, 5.26, 4.71, 4.85, 2.20, 3.18, 3.18, 2.20, 1.59, 4.79, 2.53, 100.00, 4.79, 1.35, 1.35, 2.86, 1.00, 1.35, 1.31, 100.00, 2.13, 0.83, 0.54, 1.00, 0.54, 1.00, 0.54, 0.61, 0.69, 100.00, 1.38, 0.31, 0.31, 0.45, 0.34, 0.22, 0.31, 0.31, 0.15, 0.18, 0.12, 0.16, 0.14, 100.00, 0.21, 0.12, 0.25, 100.00, 0.03, 0.09, 0.09, 0.08, 0.04, 0.06, 0.06, 0.14, 0.06, 0.01, 0.01, 0.02, 100.00, 0.06, 0.14, 0.06, 0.06, 0.03, 0.05, 0.04, 100.00, 0.01, 0.02, 0.04, 0.08, 0.04, 2.53, 0.22, 0.67, 0.31, 1.33, 1.35, 1.35, 1.17, 0.09, 1.38, 0.20, 0.16, 0.15, 0.61, 0.69, 0.31, 4.71, 0.21, 0.59, 0.14, 1.50, 0.49, 1.35, 0.31, 2.20, 0.21, 0.22, 0.08, 100.00, 0.47, 100.00, 1.94, 0.74, 0.16, 0.01, 100.00
UNIT_KONGO_SHIELD_BEARER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.07, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.55, 3.50, 4.55, 3.50, 3.46, 1.58, 2.30, 2.30, 1.58, 1.23, 3.45, 1.86, 100.00, 3.45, 1.00, 1.00, 2.06, 0.74, 1.00, 1.01, 100.00, 1.56, 0.64, 0.40, 0.72, 0.40, 0.74, 0.40, 0.47, 0.50, 100.00, 1.00, 0.22, 0.22, 0.33, 0.26, 0.16, 0.24, 0.24, 0.11, 0.13, 0.09, 0.13, 0.11, 100.00, 0.16, 0.09, 0.17, 100.00, 0.02, 0.08, 0.07, 0.06, 0.04, 0.05, 0.05, 0.11, 0.05, 0.01, 0.01, 0.02, 100.00, 0.05, 0.11, 0.05, 0.05, 0.02, 0.04, 0.04, 100.00, 0.01, 0.02, 0.04, 0.07, 0.04, 1.86, 0.16, 0.52, 0.22, 1.02, 1.00, 1.00, 0.90, 0.08, 1.00, 0.14, 0.12, 0.11, 0.47, 0.49, 0.22, 3.50, 0.16, 0.43, 0.11, 1.10, 0.36, 1.00, 0.24, 1.58, 0.16, 0.17, 0.06, 100.00, 0.33, 100.00, 1.40, 0.54, 0.11, 0.01, 100.00
UNIT_CATAPULT, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.71, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 5.06, 2.92, 2.77, 2.30, 1.86, 1.08, 2.25, 2.25, 1.51, 1.40, 2.10, 1.70, 100.00, 2.10, 0.99, 0.66, 1.06, 0.76, 0.99, 1.00, 100.00, 1.69, 0.39, 0.45, 0.63, 0.25, 0.76, 0.25, 0.28, 0.41, 100.00, 0.71, 0.32, 0.32, 0.31, 0.18, 0.17, 0.23, 0.23, 0.08, 0.12, 0.09, 0.22, 0.22, 100.00, 0.18, 0.09, 0.10, 100.00, 0.05, 0.18, 0.06, 0.10, 0.07, 0.08, 0.08, 0.18, 0.06, 0.02, 0.02, 0.03, 100.00, 0.05, 0.15, 0.08, 0.05, 0.05, 0.05, 0.04, 100.00, 0.02, 0.02, 0.07, 0.06, 0.04, 1.70, 0.17, 0.40, 0.16, 0.61, 0.99, 0.66, 0.76, 0.16, 0.71, 0.09, 0.09, 0.15, 0.28, 0.55, 0.16, 2.30, 0.13, 0.29, 0.11, 0.48, 0.24, 0.99, 0.23, 1.51, 0.26, 0.11, 0.06, 100.00, 0.32, 100.00, 0.72, 0.35, 0.11, 0.02, 100.00
UNIT_SIEGE_TOWER, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 1.00, 0.01, 1.00, 0.01, 0.01, 0.01, 0.01, 1.00
UNIT_QUADRIREME, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 0.69, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 4.90, 2.20, 5.08, 2.20, 4.15, 1.02, 1.53, 1.53, 1.02, 2.32, 1.53, 1.20, 100.00, 1.53, 0.64, 0.64, 2.32, 0.47, 0.64, 0.59, 100.00, 1.00, 1.07, 0.24, 0.35, 0.24, 0.47, 0.24, 0.74, 0.50, 100.00, 0.43, 0.17, 0.17, 0.21, 0.15, 0.14, 0.18, 0.18, 0.15, 0.13, 0.11, 0.12, 0.11, 100.00, 0.14, 0.11, 0.19, 100.00, 0.03, 0.09, 0.08, 0.07, 0.05, 0.06, 0.06, 0.09, 0.06, 0.02, 0.02, 0.03, 100.00, 0.06, 0.11, 0.06, 0.06, 0.03, 0.05, 0.05, 100.00, 0.01, 0.02, 0.05, 0.06, 0.04, 1.20, 0.14, 0.28, 0.17, 1.78, 0.64, 0.64, 1.02, 0.09, 0.43, 0.19, 0.12, 0.11, 0.74, 0.31, 0.17, 2.20, 0.14, 0.27, 0.11, 1.06, 0.24, 0.64, 0.18, 1.02, 0.14, 0.12, 0.09, 100.00, 0.17, 100.00, 1.57, 0.34, 0.12, 0.02, 100.00
UNIT_EGYPTIAN_CHARIOT_ARCHER, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 1.14, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 7.88, 4.50, 5.82, 3.60, 4.00, 1.69, 1.77, 1.77, 1.22, 2.86, 3.21, 2.60, 100.00, 3.21, 1.56, 1.07, 2.20, 1.20, 1.56, 2.57, 100.00, 0.93, 1.00, 0.71, 1.06, 0.41, 1.20, 0.41, 0.49, 0.81, 100.00, 1.11, 0.47, 0.47, 0.25, 0.36, 0.09, 0.14, 0.14, 0.15, 0.17, 0.15, 0.36, 0.30, 100.00, 0.14, 0.15, 0.20, 100.00, 0.05, 0.26, 0.10, 0.06, 0.04, 0.05, 0.05, 0.26, 0.08, 0.02, 0.02, 0.03, 100.00, 0.08, 0.11, 0.06, 0.08, 0.03, 0.07, 0.07, 100.00, 0.02, 0.02, 0.04, 0.08, 0.05, 2.60, 0.09, 0.71, 0.24, 1.05, 1.56, 1.07, 1.05, 0.26, 1.11, 0.17, 0.17, 0.08, 0.49, 0.86, 0.24, 3.60, 0.19, 0.45, 0.15, 1.00, 0.38, 1.56, 0.14, 1.22, 0.38, 0.17, 0.10, 100.00, 0.47, 100.00, 1.50, 0.56, 0.17, 0.02, 100.00
UNIT_JAPANESE_SAMURAI, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 2.78, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 100.00, 14.29, 9.00, 7.14, 9.00, 6.67, 4.07, 6.17, 6.17, 4.07, 2.50, 8.70, 4.71, 100.00, 8.70, 2.53, 2.53, 5.00, 1.86, 2.53, 2.22, 100.00, 4.09, 1.42, 1.00, 1.89, 1.00, 1.86, 1.00, 1.02, 1.30, 100.00, 2.55, 0.59, 0.59, 0.88, 0.59, 0.38, 0.54, 0.54, 0.27, 0.33, 0.22, 0.26, 0.26, 100.00, 0.40, 0.22, 0.45, 100.00, 0.04, 0.18, 0.16, 0.13, 0.07, 0.09, 0.09, 0.27, 0.09, 0.02, 0.02, 0.03, 100.00, 0.09, 0.26, 0.09, 0.08, 0.04, 0.07, 0.07, 100.00, 0.01, 0.02, 0.07, 0.13, 0.06, 4.71, 0.38, 1.13, 0.59, 2.08, 2.53, 2.53, 1.83, 0.15, 2.55, 0.34, 0.31, 0.27, 1.02, 1.26, 0.59, 9.00, 0.40, 1.07, 0.26, 2.81, 0.94, 2.53, 0.54, 4.07, 0.40, 0.43, 0.15, 100.00, 0.86, 100.00, 3.60, 1.35, 0.29, 0.01, 100.00
